ID,projects,commit url,UTC of buggy commit,UTC of fix commit,start line,end line,defect method,change lines,resource types,root causes,fix approach,patch error?,standard libraries,third-party libraries,is interprocedural,key variable name,key variable location,key variable attribute
1,aaberg/sql2o,https://github.com/aaberg/sql2o/commit/1f4e4d392fa063769a5553347d434c372017ae96,2014-01-22T05:35:20Z,2014-01-22T19:54:43Z,412,420,src/main/java/org/sql2o/Query.java:executeAndFetchFirst,"src/main/java/org/sql2o/Query.java:@@ -271,151 +271,180 @@ ",socket,noCloseRPath,CloseInFinally,no,java.sql.ResultSetIterable,,no,executeAndFetchLazy(returnType).iterator(),src/main/java/org/sql2o/Query.java:413,anonymous variable
2,abarisain/dmix,https://github.com/abarisain/dmix/commit/842d4e82f6ec5b9abf8e4e51efb80c76ceac7214,2014-03-10T15:13:05Z,2014-03-10T15:13:05Z,623,653,MPDroid/src/com/namelessdev/mpdroid/helpers/CoverManager.java:download,"MPDroid/src/com/namelessdev/mpdroid/helpers/CoverManager.java@@ -624,15 +624,16 @@",file,noCloseRPath,CloseInFinally,no,"java.io.BufferedInputStream,java.io.ByteArrayOutputStream",,no,"bis,baos","MPDroid/src/com/namelessdev/mpdroid/helpers/CoverManager.java:637,638",local variable
3,actiontech/dble,https://github.com/actiontech/dble/commit/44a0361804cd87c49e407df30b2bfa541daff47d,2018-02-28T07:10:38Z,2018-05-16T15:12:50Z,152,163,src/main/java/com/actiontech/dble/backend/mysql/view/FileSystemRepository.java:readFromFile,"src/main/java/com/actiontech/dble/backend/mysql/view/FileSystemRepository.java@@ -150,16 +160,33 @@",file,noCloseEPath,CloseInFinally,no,java.io.BufferedReader,,no,br,"src/main/java/com/actiontech/dble/backend/mysql/view/FileSystemRepository.java:153,154,155",local variable
4,adempiere/adempiere,https://github.com/adempiere/adempiere/commit/eaa173011ebf83557e12f641ea8e57d39b3b2aed,2008-02-12T05:24:02Z,2008-02-16T03:09:40Z,740,753,base/src/org/compiere/util/CStatement.java:close,"base/src/org/compiere/util/CStatement.java@@ -739,17 +739,24 @@",socket,noCloseEPath,CloseInFinally,no,java.sql.Connection,,yes,conn,base/src/org/compiere/util/CStatement.java:749,local variable
5,airsonic/airsonic,https://github.com/airsonic/airsonic/commit/910802b64f6950804307f82f25ec9c49a851ae1e,2019-03-28T02:50:03Z,2019-03-28T23:18:25Z,146,194,airsonic-main/src/main/java/org/airsonic/player/service/UPnPService.java:createMediaServerDevice,"airsonic-main/src/main/java/org/airsonic/player/service/UPnPService.java@@ -155,7 +157,9 @@",file,noCloseRPath,CloseOnRPath,yes,java.io.InputStream,,no,"getClass().getResourceAsStream(""logo-512.png"")",airsonic-main/src/main/java/org/airsonic/player/service/UPnPService.java:158,anonymous variable
6,airsonic/airsonic,https://github.com/airsonic/airsonic/commit/c9536ff3103729f4d3212f7196cf5cb6497de47a,2016-05-14T23:36:14Z,2016-12-07T05:25:45Z,526,609,libresonic-main/src/main/java/org/libresonic/player/service/PodcastService.java:doDownloadEpisode,"libresonic-main/src/main/java/org/libresonic/player/service/PodcastService.java@@ -534,68 +533,69 @@",socket,noCloseRPath,try-with,no,java.net.http.HttpResponse,,no,response,libresonic-main/src/main/java/org/libresonic/player/service/PodcastService.java:550,local variable
7,alfio-event/alf.io,https://github.com/alfio-event/alf.io/commit/d7a492011449f4f61cfe55a36b923968dc4c9de8,2017-07-27T13:03:02Z,2018-09-13T13:25:14Z,92,118,src/main/java/alfio/manager/system/MailgunMailer.java:send,"src/main/java/alfio/manager/system/MailgunMailer.java@@ -105,12 +105,10 @@",socket,noCloseRPath,try-with,no,,okhttp3.Response,no,resp,src/main/java/alfio/manager/system/MailgunMailer.java:108,local variable
8,alibaba/ARouter,https://github.com/alibaba/ARouter/commit/14a5add66efc1d62384a2b301fd791e20281b319,2017-02-23T14:50:46Z,2017-05-08T06:51:29Z,56,77,arouter-api/src/main/java/com/alibaba/android/arouter/utils/ClassUtils.java:getFileNameByPackageName,"arouter-api/src/main/java/com/alibaba/android/arouter/utils/ClassUtils.java@@ -56,18 +56,30 @@",file,noCloseRPath,CloseInFinally,no,,dalvik.system.DexFile,no,dexfile,arouter-api/src/main/java/com/alibaba/android/arouter/utils/ClassUtils.java:62,local variable
9,alibaba/nacos,https://github.com/alibaba/nacos/commit/3f75b3a2c5bd1ec0657e34d11ab608893cd7d7b7,2022-08-12T08:42:38Z,2022-08-22T01:40:53Z,103,117,common/src/main/java/com/alibaba/nacos/common/utils/IoUtils.java:tryCompress,"common/src/main/java/com/alibaba/nacos/common/utils/IoUtils.java@@ -102,14 +88,11 @@",file,noCloseEPath,try-with,no,java.util.zip.GZIPOutputStream,,no,gzip,common/src/main/java/com/alibaba/nacos/common/utils/IoUtils.java:110,local variable
10,aliyun/aliyun-oss-android-sdk,https://github.com/aliyun/aliyun-oss-android-sdk/commit/a5e369ebbf8e8b89a71ebd649b57c7ee73f61fdf,2021-10-20T03:01:38Z,2021-10-20T03:01:38Z,407,423,oss-android-sdk/src/main/java/com/alibaba/sdk/android/oss/internal/ResumableDownloadTask.java:moveFile,"oss-android-sdk/src/main/java/com/alibaba/sdk/android/oss/internal/ResumableDownloadTask.java@@ -409,15 +409,24 @@",file,noCloseRPath,CloseInFinally,no,"java.io.InputStream,java.io.OutputStream",,yes,"ist,ost","oss-android-sdk/src/main/java/com/alibaba/sdk/android/oss/internal/ResumableDownloadTask.java:413,414",local variable
