ID,projects,# of commit,UTC of create,UTC of last modify,# of stars,# of issues,# of forks,# of releases,# of Contributors,# of requests,about,commit url,UTC of buggy commit,UTC of fix commit,start line,end line,defect method,change lines,resource types,root causes,fixed approaches,patch correction,standard libraries,third-party libraries,is interprocedural,key variable name,key variable location,key variable attribute,defect file hash,fix file hash,defect file url,fix file url
1,aaberg/sql2o,661,2011-05-18T21:13:57Z,2023-02-25T21:00:57Z,1118,104,229,14,22,22,"sql2o is a small library, which makes it easy to convert the result of your sql-statements into objects. No resultset hacking required. Kind of like an orm, but without the sql-generation capabilities. Supports named parameters.",https://github.com/aaberg/sql2o/commit/1f4e4d392fa063769a5553347d434c372017ae96,2014-01-22T05:35:20Z,2014-01-22T19:54:43Z,412 ,420 ,src/main/java/org/sql2o/Query.java:executeAndFetchFirst,"src/main/java/org/sql2o/Query.java:@@ -271,151 +271,180 @@ ",socket,noCloseRPath,CloseInFinally,no,java.sql.ResultSetIterable,,no,executeAndFetchLazy(returnType).iterator(),src/main/java/org/sql2o/Query.java:413,anonymous variable,4c12a0694ebb63cdd72de4da2a3ac3b52a5ff47bb9b54b50030a98104f5f1af1,1463349dccf581a7a6b889f8c4c92170f0971836d60e0ae09da40522fc531e95,https://raw.githubusercontent.com/aaberg/sql2o/8f099bc756cef223bae77ac9f6a195d8ee0d2b62/src/main/java/org/sql2o/Query.java,https://raw.githubusercontent.com/aaberg/sql2o/1f4e4d392fa063769a5553347d434c372017ae96/src/main/java/org/sql2o/Query.java
2,abarisain/dmix,2605,2010-06-23T08:35:14Z,2021-12-09T07:27:26Z,585,168,204,19,32,16,A modern MPD Client for Android.,https://github.com/abarisain/dmix/commit/842d4e82f6ec5b9abf8e4e51efb80c76ceac7214,2014-03-09T17:54:59Z,2014-03-09T21:33:58Z,623 ,653 ,MPDroid/src/com/namelessdev/mpdroid/helpers/CoverManager.java:download,"MPDroid/src/com/namelessdev/mpdroid/helpers/CoverManager.java@@ -624,15 +624,16 @@",file,noCloseRPath,CloseInFinally,no,"java.io.BufferedInputStream,java.io.ByteArrayOutputStream",,no,"bis,baos","MPDroid/src/com/namelessdev/mpdroid/helpers/CoverManager.java:637,638",local variable,fc4ccd4ab8923044ced94b7cf1c178f783b3768acff1baea6927cc88c8065381,86423b67b8dae17382eafcaa5450f4358203b056eb490aa202f1807d5b70d0c9,https://raw.githubusercontent.com/abarisain/dmix/074204a21e8d8789073e8fb553ecd7a0b0e67667/MPDroid/src/com/namelessdev/mpdroid/helpers/CoverManager.java,https://raw.githubusercontent.com/abarisain/dmix/842d4e82f6ec5b9abf8e4e51efb80c76ceac7214/MPDroid/src/com/namelessdev/mpdroid/helpers/CoverManager.java
3,actiontech/dble,3976,2017-08-24T10:58:41Z,2023-06-20T08:35:34Z,1028,89,315,69,30,3,A High Scalability Middle-ware for MySQL Sharding,https://github.com/actiontech/dble/commit/44a0361804cd87c49e407df30b2bfa541daff47d,2018-02-28T07:10:38Z,2018-05-16T15:12:50Z,152 ,163,src/main/java/com/actiontech/dble/backend/mysql/view/FileSystemRepository.java:readFromFile,"src/main/java/com/actiontech/dble/backend/mysql/view/FileSystemRepository.java@@ -150,16 +160,33 @@",file,noCloseEPath,CloseInFinally,no,java.io.BufferedReader,,no,br,"src/main/java/com/actiontech/dble/backend/mysql/view/FileSystemRepository.java:153,154,155",local variable,0121bc390be5234afdf2016b0ab886a5c0e063c33db11d37e01248fa3d0f4d46,08a2ddec8e7fcf2cd6d26bb54dd9b61424e54df9df1d7ace4a295341824a0fc6,https://raw.githubusercontent.com/actiontech/dble/14252f77f42d608e1432f0c77ee525ce961a7d06/src/main/java/com/actiontech/dble/backend/mysql/view/FileSystemRepository.java,https://raw.githubusercontent.com/actiontech/dble/44a0361804cd87c49e407df30b2bfa541daff47d/src/main/java/com/actiontech/dble/backend/mysql/view/FileSystemRepository.java
4,adempiere/adempiere,16778,2015-01-08T01:15:53Z,2023-06-23T13:43:49Z,727,543,748,6,28,42,"ADempiere Business Suite ERP/CRM/MFG/SCM/POS done the Bazaar way in an open and unabated fashion. Focus is on the Community that includes Subject Matter Specialists, Implementors and End-Users.",https://github.com/adempiere/adempiere/commit/eaa173011ebf83557e12f641ea8e57d39b3b2aed,2008-02-12T05:24:02Z,2008-02-16T03:09:40Z,740,753,base/src/org/compiere/util/CStatement.java:close,"base/src/org/compiere/util/CStatement.java@@ -739,17 +739,24 @@",socket,noCloseEPath,CloseInFinally,no,java.sql.Connection,,yes,conn,base/src/org/compiere/util/CStatement.java:749,local variable,44acfbf7cc7bf9f3985c176a3f3b3a8b1ff7c646c89eb22185107a1ae4556b7d,e96d08176d04fd537c59ff85ef22156d991ee043a992ae01a99496cbcf16a919,https://raw.githubusercontent.com/adempiere/adempiere/9745f76c751dcd51b155330a2d892f3f2538f756/base/src/org/compiere/util/CStatement.java,https://raw.githubusercontent.com/adempiere/adempiere/eaa173011ebf83557e12f641ea8e57d39b3b2aed/base/src/org/compiere/util/CStatement.java
5,airsonic/airsonic,1572,2017-07-04T17:58:56Z,2021-08-11T21:09:11Z,1964,432,232,26,74,68," :satellite: :cloud: :notes:Airsonic, a Free and Open Source community driven media server (fork of Subsonic and Libresonic)",https://github.com/airsonic/airsonic/commit/c9536ff3103729f4d3212f7196cf5cb6497de47a,2016-05-15T09:27:13Z,2016-12-07T05:25:45Z,232,272,libresonic-main/src/main/java/org/libresonic/player/service/VersionService.java:readLatestVersion,"libresonic-main/src/main/java/org/libresonic/player/service/VersionService.java@@ -231,25 +232,22 @@",file,noCloseEPath,try-with,no,java.io.BufferedReader,,no,reader,libresonic-main/src/main/java/org/libresonic/player/service/VersionService.java:248,local variable,ac1000e7b83f3cb3bbe5c4277dc4bddbd25b45a93e909765e3487ef673965844,8e6bf88c4b090088437b50baeaf12fa52c6d062bcd009d62026001c09481fbb3,https://raw.githubusercontent.com/airsonic/airsonic/33c16db8022980507f00200b4db6441f8a47f36d/libresonic-main/src/main/java/org/libresonic/player/service/VersionService.java,https://raw.githubusercontent.com/airsonic/airsonic/c9536ff3103729f4d3212f7196cf5cb6497de47a/libresonic-main/src/main/java/org/libresonic/player/service/VersionService.java
6,airsonic/airsonic,1572,2017-07-04T17:58:56Z,2021-08-11T21:09:11Z,1964,432,232,26,74,68," :satellite: :cloud: :notes:Airsonic, a Free and Open Source community driven media server (fork of Subsonic and Libresonic)",https://github.com/airsonic/airsonic/commit/c9536ff3103729f4d3212f7196cf5cb6497de47a,2016-05-14T23:36:14Z,2016-12-07T05:25:45Z,526,609,libresonic-main/src/main/java/org/libresonic/player/service/PodcastService.java:doDownloadEpisode,"libresonic-main/src/main/java/org/libresonic/player/service/PodcastService.java@@ -534,68 +533,69 @@",socket,noCloseRPath,try-with,no,java.net.http.HttpResponse,,no,response,libresonic-main/src/main/java/org/libresonic/player/service/PodcastService.java:550,local variable,223be9f824669c4c52fc6c178c489945253613285facb25243c003eed7bd7b26,52570922cc71355c09903b2472f8a21a0c1010b9ee9a067976a9c4801c59005d,https://raw.githubusercontent.com/airsonic/airsonic/33c16db8022980507f00200b4db6441f8a47f36d/libresonic-main/src/main/java/org/libresonic/player/service/PodcastService.java,https://raw.githubusercontent.com/airsonic/airsonic/c9536ff3103729f4d3212f7196cf5cb6497de47a/libresonic-main/src/main/java/org/libresonic/player/service/PodcastService.java
7,alfio-event/alf.io,3708,2014-07-26T10:12:57Z,2023-06-22T09:35:27Z,1169,118,302,91,46,5,"alf.io - The open source ticket reservation system for conferences, trade shows, workshops, meetups",https://github.com/alfio-event/alf.io/commit/d7a492011449f4f61cfe55a36b923968dc4c9de8,2017-07-27T13:03:02Z,2018-09-13T13:24:58Z,92,118,src/main/java/alfio/manager/system/MailgunMailer.java:send,"src/main/java/alfio/manager/system/MailgunMailer.java@@ -105,12 +105,10 @@",file,noCloseRPath,try-with,no,,okhttp3.Response,no,resp,src/main/java/alfio/manager/system/MailgunMailer.java:108,local variable,81492aad15bc92048da10d208cc3aa21319d7baf18bfe2fc965fc9985c4e0c89,0c76a26913ab2a062a8cfd8e992f9ca42a84e0a3e26143e86fce12baa6135739,https://raw.githubusercontent.com/alfio-event/alf.io/c94328a8a609a5a3c5fb9045b370c8a5c71fc4d2/src/main/java/alfio/manager/system/MailgunMailer.java,https://raw.githubusercontent.com/alfio-event/alf.io/d7a492011449f4f61cfe55a36b923968dc4c9de8/src/main/java/alfio/manager/system/MailgunMailer.java
8,alibaba/ARouter,301,2016-12-14T01:27:49Z,2023-05-17T12:17:20Z,14210,114,2565,16,19,10,A framework for assisting in the renovation of Android componentization (甯姪 Android App 杩涜缁勪欢鍖栨敼閫犵殑璺敱妗嗘灦),https://github.com/alibaba/ARouter/commit/14a5add66efc1d62384a2b301fd791e20281b319,2017-02-23T14:50:46Z,2017-05-08T06:51:29Z,56,72,arouter-api/src/main/java/com/alibaba/android/arouter/utils/ClassUtils.java:getFileNameByPackageName,"arouter-api/src/main/java/com/alibaba/android/arouter/utils/ClassUtils.java@@ -56,18 +56,30 @@",file,noCloseRPath,CloseInFinally,no,,dalvik.system.DexFile,no,dexfile,arouter-api/src/main/java/com/alibaba/android/arouter/utils/ClassUtils.java:62,local variable,027863a3c259b472bbc5f1680488ac06374070f5a3e9d0a7ff481b72d472054a,c83de395d2791547de91eb6a43ddfc81976817dbbc1df55a86100116f77d5d1e,https://raw.githubusercontent.com/alibaba/ARouter/dd5b4a9f54002033080a0164e17d69776082943f/arouter-api/src/main/java/com/alibaba/android/arouter/utils/ClassUtils.java,https://raw.githubusercontent.com/alibaba/ARouter/14a5add66efc1d62384a2b301fd791e20281b319/arouter-api/src/main/java/com/alibaba/android/arouter/utils/ClassUtils.java
9,alibaba/nacos,4634,2018-06-15T06:49:27Z,2023-06-21T02:54:24Z,26772,229,11896,58,316,10,"an easy-to-use dynamic service discovery, configuration and service management platform for building cloud native applications.",https://github.com/alibaba/nacos/commit/3f75b3a2c5bd1ec0657e34d11ab608893cd7d7b7,2022-08-12T08:42:38Z,2022-08-22T01:40:53Z,103,117,common/src/main/java/com/alibaba/nacos/common/utils/IoUtils.java:tryCompress,"common/src/main/java/com/alibaba/nacos/common/utils/IoUtils.java@@ -102,14 +88,11 @@",file,noCloseEPath,try-with,no,java.util.zip.GZIPOutputStream,,no,gzip,common/src/main/java/com/alibaba/nacos/common/utils/IoUtils.java:110,local variable,5d03b5ba3c2faa3099239a098556f9f36519cfd59a155d82166d9729ee97c9f8,d9fd84d5fd9e72c3725a964fa9a3a4ed1011ce34ac4e27a51f63f3baceaf4749,https://raw.githubusercontent.com/alibaba/nacos/3839cdc307963902287f07b622072e7efced5d0c/common/src/main/java/com/alibaba/nacos/common/utils/IoUtils.java,https://raw.githubusercontent.com/alibaba/nacos/3f75b3a2c5bd1ec0657e34d11ab608893cd7d7b7/common/src/main/java/com/alibaba/nacos/common/utils/IoUtils.java
10,aliyun/aliyun-oss-android-sdk,544,2015-12-03T10:10:43Z,2023-06-14T11:39:26Z,777,91,315,21,13,4,Android SDK for aliyun object storage service,https://github.com/aliyun/aliyun-oss-android-sdk/commit/a5e369ebbf8e8b89a71ebd649b57c7ee73f61fdf,2021-06-09T02:50:54Z,2021-10-15T09:10:39Z,407,423,oss-android-sdk/src/main/java/com/alibaba/sdk/android/oss/internal/ResumableDownloadTask.java:moveFile,"oss-android-sdk/src/main/java/com/alibaba/sdk/android/oss/internal/ResumableDownloadTask.java@@ -409,15 +409,24 @@",file,noCloseRPath,CloseInFinally,no,"java.io.InputStream,java.io.OutputStream",,no,"ist,ost","oss-android-sdk/src/main/java/com/alibaba/sdk/android/oss/internal/ResumableDownloadTask.java:413,414",local variable,1b908765da9cfed9fb1fdf542b9933d71b53a424c53aa589cb59979f630ce74c,94426f09ee9ffb152bee600ca63f6d4c29fded28ad53499f2d170a0bde8a4522,https://raw.githubusercontent.com/aliyun/aliyun-oss-android-sdk/41bf73cb74248a665b2e13921611eddd6a9baee1/oss-android-sdk/src/main/java/com/alibaba/sdk/android/oss/internal/ResumableDownloadTask.java,https://raw.githubusercontent.com/aliyun/aliyun-oss-android-sdk/a5e369ebbf8e8b89a71ebd649b57c7ee73f61fdf/oss-android-sdk/src/main/java/com/alibaba/sdk/android/oss/internal/ResumableDownloadTask.java
